date,close,open,high,low,vol,% change
19/5/15,17500,17000,17500,16900,2.07M,2.34%
20/5/15,18200,17400,18200,17400,2.11M,4.00%
21/5/15,18100,18200,18200,17900,2.11M,-0.55%
22/5/15,18000,18100,18100,17800,2.39M,-0.55%
25/5/15,18000,17900,18000,17700,1.89M,0.00%
26/5/15,18100,18000,18400,17900,3.45M,0.56%
27/5/15,18100,18100,18200,18000,1.44M,0.00%
28/5/15,18300,18100,18500,18000,2.72M,1.10%
29/5/15,18300,18200,18400,18000,1.90M,0.00%
1/6/15,17800,18200,18200,17800,2.29M,-2.73%
2/6/15,17500,17700,17900,17300,3.53M,-1.69%
3/6/15,17600,17800,18100,17500,3.35M,0.57%
4/6/15,17900,17900,18000,17700,1.83M,1.70%
5/6/15,17900,17900,18000,17700,2.42M,0.00%
8/6/15,18100,18000,18300,17900,2.44M,1.12%
9/6/15,18200,18100,18400,18000,2.34M,0.55%
10/6/15,18000,18200,18300,18000,1.59M,-1.10%
11/6/15,18000,18100,18200,18000,2.54M,0.00%
12/6/15,17900,18100,18200,17900,1.99M,-0.56%
15/6/15,17700,18000,18000,17700,2.01M,-1.12%
16/6/15,17800,17700,18000,17600,1.53M,0.56%
17/6/15,17600,17800,17900,17600,1.35M,-1.12%
18/6/15,17600,17700,17800,17600,1.03M,0.00%
19/6/15,17600,17800,17800,17600,3.07M,0.00%
22/6/15,18000,17700,18000,17700,2.54M,2.27%
23/6/15,18000,18100,18200,17900,1.59M,0.00%
24/6/15,18400,18100,18700,18000,6.69M,2.22%
25/6/15,18400,18500,18600,18200,1.90M,0.00%
26/6/15,18400,18400,18500,18200,2.01M,0.00%
29/6/15,18700,18300,18900,18100,4.83M,1.63%
30/6/15,19000,18600,19400,18500,7.10M,1.60%
1/7/15,18900,19100,19200,18700,1.99M,-0.53%
2/7/15,19300,19100,19300,18900,3.59M,2.12%
3/7/15,19100,19400,19400,18900,2.76M,-1.04%
6/7/15,19200,19300,19400,19000,3.13M,0.52%
7/7/15,18700,18800,19000,18600,5.37M,-2.60%
8/7/15,18500,18700,18800,18300,3.81M,-1.07%
9/7/15,18500,18300,18500,18200,2.33M,0.00%
10/7/15,18300,18600,18700,18300,2.24M,-1.08%
13/7/15,18600,18500,18800,18500,2.87M,1.64%
14/7/15,18700,18800,18900,18500,1.71M,0.54%
15/7/15,18500,18800,18800,18500,1.46M,-1.07%
16/7/15,18500,18400,18700,18400,1.55M,0.00%
17/7/15,18700,18800,18800,18500,1.98M,1.08%
20/7/15,18600,18800,18800,18400,1.69M,-0.53%
21/7/15,18300,18500,18600,18200,1.26M,-1.61%
22/7/15,18400,18300,18400,18200,1.79M,0.55%
23/7/15,18300,18400,18400,18200,1.42M,-0.54%
24/7/15,18100,18200,18300,18000,1.70M,-1.09%
27/7/15,18100,18100,18300,17900,2.61M,0.00%
28/7/15,18000,18100,18100,17900,2.03M,-0.55%
29/7/15,17600,17900,17900,17600,2.03M,-2.22%
30/7/15,17500,17500,17600,17200,3.77M,-0.57%
31/7/15,17300,17500,17600,17200,1.50M,-1.14%
3/8/15,16800,17100,17200,16700,2.57M,-2.89%
4/8/15,16800,16800,17000,16700,1.94M,0.00%
5/8/15,17300,16800,17300,16800,1.68M,2.98%
6/8/15,17000,17300,17300,17000,775.40K,-1.73%
7/8/15,17100,17100,17100,16900,521.36K,0.59%
10/8/15,16800,17100,17100,16800,1.34M,-1.75%
11/8/15,16900,17000,17000,16700,1.66M,0.60%
12/8/15,16600,16900,16900,16500,1.35M,-1.78%
13/8/15,16300,16400,16500,15800,2.75M,-1.81%
14/8/15,16200,16300,16300,16000,1.45M,-0.61%
17/8/15,16500,16400,16800,16300,2.91M,1.85%
18/8/15,16500,16700,16700,16400,958.83K,0.00%
19/8/15,16400,16500,16500,16200,760.14K,-0.61%
20/8/15,15900,16400,16400,15900,1.36M,-3.05%
21/8/15,15400,15600,15800,14900,3.68M,-3.14%
24/8/15,14400,15300,15300,14400,2.95M,-6.49%
25/8/15,14400,13500,14400,13500,5.27M,0.00%
26/8/15,15000,14100,15000,14100,2.45M,4.17%
27/8/15,15100,15200,15300,15000,2.03M,0.67%
28/8/15,15100,15100,15200,14800,1.93M,0.00%
31/8/15,14800,15000,15000,14600,1.67M,-1.99%
1/9/15,14800,14600,15000,14600,931.08K,0.00%
3/9/15,14400,14800,14800,14400,1.32M,-2.70%
4/9/15,14700,14500,14700,14400,754.37K,2.08%
7/9/15,14600,14600,14700,14500,553.02K,-0.68%
8/9/15,14800,14500,14800,14400,969.66K,1.37%
9/9/15,14800,14900,15000,14700,809.43K,0.00%
10/9/15,14800,14600,14800,14600,624.23K,0.00%
11/9/15,14800,14700,14900,14700,654.53K,0.00%
14/9/15,14700,14800,15000,14700,940.30K,-0.68%
15/9/15,14700,14700,14800,14600,561.48K,0.00%
16/9/15,15300,15000,15700,15000,2.89M,4.08%
17/9/15,15300,15400,15600,15300,1.84M,0.00%
18/9/15,15500,15500,15500,15300,7.40M,1.31%
21/9/15,15200,15300,15400,15200,994.91K,-1.94%
22/9/15,15400,15200,15800,15100,3.79M,1.32%
23/9/15,15400,15300,15700,15300,1.72M,0.00%
24/9/15,15400,15500,15600,15300,949.84K,0.00%
25/9/15,15100,15400,15400,15100,1.56M,-1.95%
28/9/15,14800,15200,15200,14700,1.79M,-1.99%
29/9/15,14800,14600,14800,14400,1.80M,0.00%
30/9/15,14800,14800,14900,14700,1.23M,0.00%
1/10/15,14700,14800,14800,14600,987.10K,-0.68%
2/10/15,14900,14900,15100,14800,1.78M,1.36%
5/10/15,14900,15000,15100,14800,1.15M,0.00%
6/10/15,14900,15000,15000,14800,2.87M,0.00%
7/10/15,15000,14900,15000,14800,2.79M,0.67%
8/10/15,15000,14900,15200,14800,3.12M,0.00%
9/10/15,15300,15200,15700,15100,9.65M,2.00%
12/10/15,15300,15400,15600,15300,4.60M,0.00%
13/10/15,15300,15200,15700,15200,4.11M,0.00%
